DATE,VXVCLS
2015-06-17,16.22
2015-06-18,15.44
2015-06-19,15.91
2015-06-22,14.99
2015-06-23,14.54
2015-06-24,15.18
2015-06-25,15.52
2015-06-26,15.46
2015-06-29,18.72
2015-06-30,18.47
2015-07-01,16.79
2015-07-02,17.68
2015-07-03,.
2015-07-06,18.04
2015-07-07,17.02
2015-07-08,19.25
2015-07-09,19.78
2015-07-10,17.73
2015-07-13,15.94
2015-07-14,15.46
2015-07-15,15.60
2015-07-16,14.73
2015-07-17,14.61
2015-07-20,14.85
2015-07-21,14.75
2015-07-22,14.81
2015-07-23,14.92
2015-07-24,15.65
2015-07-27,16.78
2015-07-28,15.43
2015-07-29,14.92
2015-07-30,14.71
2015-07-31,14.90
2015-08-03,14.84
2015-08-04,15.13
2015-08-05,14.88
2015-08-06,15.55
2015-08-07,15.42
2015-08-10,14.99
2015-08-11,15.94
2015-08-12,15.87
2015-08-13,15.75
2015-08-14,15.51
2015-08-17,15.21
2015-08-18,15.61
2015-08-19,16.50
2015-08-20,18.83
2015-08-21,23.47
2015-08-24,31.14
2015-08-25,29.58
2015-08-26,25.65
2015-08-27,24.86
2015-08-28,25.34
2015-08-31,26.53
2015-09-01,29.53
2015-09-02,26.19
2015-09-03,26.20
2015-09-04,28.07
2015-09-07,.
2015-09-08,25.69
2015-09-09,26.31
2015-09-10,25.65
2015-09-11,24.68
2015-09-14,23.70
2015-09-15,23.12
2015-09-16,22.33
2015-09-17,21.14
2015-09-18,23.20
2015-09-21,21.59
2015-09-22,23.28
2015-09-23,22.88
2015-09-24,23.46
2015-09-25,24.40
2015-09-28,26.38
2015-09-29,26.00
2015-09-30,24.75
2015-10-01,23.83
2015-10-02,22.60
2015-10-05,21.33
2015-10-06,21.59
2015-10-07,20.71
2015-10-08,20.09
2015-10-09,19.85
2015-10-12,19.26
2015-10-13,20.50
2015-10-14,20.81
2015-10-15,19.43
2015-10-16,18.67
2015-10-19,17.86
2015-10-20,18.60
2015-10-21,19.46
2015-10-22,17.16
2015-10-23,17.48
2015-10-26,17.99
2015-10-27,18.14
2015-10-28,17.49
2015-10-29,17.81
2015-10-30,18.40
2015-11-02,17.42
2015-11-03,17.47
2015-11-04,18.31
2015-11-05,17.81
2015-11-06,17.45
2015-11-09,18.85
2015-11-10,18.02
2015-11-11,18.45
2015-11-12,20.17
2015-11-13,21.58
2015-11-16,19.98
2015-11-17,20.43
2015-11-18,19.22
2015-11-19,19.64
2015-11-20,18.94
2015-11-23,18.63
2015-11-24,18.71
2015-11-25,18.19
2015-11-26,.
2015-11-27,17.35
2015-11-30,18.49
2015-12-01,17.58
2015-12-02,18.33
2015-12-03,20.11
2015-12-04,18.17
2015-12-07,18.65
2015-12-08,20.06
2015-12-09,21.05
2015-12-10,20.76
2015-12-11,24.38
2015-12-14,23.30
2015-12-15,21.86
2015-12-16,19.57
2015-12-17,20.37
2015-12-18,21.26
2015-12-21,21.11
2015-12-22,19.84
2015-12-23,19.33
2015-12-24,19.69
2015-12-25,.
2015-12-28,19.68
2015-12-29,19.10
2015-12-30,19.59
2015-12-31,19.80
2016-01-01,.
2016-01-04,22.01
2016-01-05,20.52
2016-01-06,21.27
2016-01-07,24.62
2016-01-08,26.23
2016-01-11,24.73
2016-01-12,22.53
2016-01-13,24.89
2016-01-14,23.53
2016-01-15,26.88
2016-01-18,.
2016-01-19,26.44
2016-01-20,27.81
2016-01-21,26.71
2016-01-22,24.28
2016-01-25,25.25
2016-01-26,23.29
2016-01-27,24.47
2016-01-28,24.02
2016-01-29,22.66
2016-02-01,22.01
2016-02-02,23.41
2016-02-03,23.20
2016-02-04,23.66
2016-02-05,24.48
2016-02-08,25.98
2016-02-09,26.80
2016-02-10,26.72
2016-02-11,27.72
2016-02-12,26.23
2016-02-15,.
2016-02-16,25.01
2016-02-17,23.55
2016-02-18,23.20
2016-02-19,22.80
2016-02-22,21.62
2016-02-23,22.44
2016-02-24,22.34
2016-02-25,21.24
2016-02-26,21.86
2016-02-29,22.39
2016-03-01,20.28
2016-03-02,19.92
2016-03-03,19.49
2016-03-04,19.63
2016-03-07,19.90
2016-03-08,21.04
2016-03-09,20.75
2016-03-10,20.71
2016-03-11,19.47
2016-03-14,19.42
2016-03-15,19.33
2016-03-16,18.48
2016-03-17,18.14
2016-03-18,17.93
2016-03-21,17.59
2016-03-22,17.75
2016-03-23,18.30
2016-03-24,18.27
2016-03-25,.
2016-03-28,18.30
2016-03-29,17.24
2016-03-30,16.92
2016-03-31,17.08
2016-04-01,16.50
2016-04-04,17.23
2016-04-05,18.38
2016-04-06,17.28
2016-04-07,18.86
2016-04-08,18.32
2016-04-11,18.89
2016-04-12,17.97
2016-04-13,17.26
2016-04-14,17.24
2016-04-15,17.16
2016-04-18,16.51
2016-04-19,16.47
2016-04-20,16.60
2016-04-21,17.14
2016-04-22,16.64
2016-04-25,17.22
2016-04-26,16.92
2016-04-27,16.77
2016-04-28,17.78
2016-04-29,18.45
2016-05-02,17.78
2016-05-03,18.57
2016-05-04,18.91
2016-05-05,18.92
2016-05-06,18.27
2016-05-09,18.05
2016-05-10,17.18
2016-05-11,18.02
2016-05-12,17.75
2016-05-13,18.25
2016-05-16,17.70
2016-05-17,18.43
2016-05-18,18.54
2016-05-19,18.77
2016-05-20,18.05
2016-05-23,18.15
2016-05-24,17.08
2016-05-25,16.77
2016-05-26,16.56
2016-05-27,16.31
2016-05-30,.
2016-05-31,16.63
2016-06-01,16.70
2016-06-02,16.37
2016-06-03,16.49
2016-06-06,16.44
2016-06-07,16.63
2016-06-08,16.79
2016-06-09,17.32
2016-06-10,18.94
2016-06-13,21.87
2016-06-14,21.94
2016-06-15,21.81
2016-06-16,21.16
2016-06-17,21.31
2016-06-20,19.81
2016-06-21,19.69
2016-06-22,21.08
2016-06-23,18.42
2016-06-24,23.93
2016-06-27,23.68
2016-06-28,20.26
2016-06-29,18.73
2016-06-30,18.09
2016-07-01,17.65
2016-07-04,.
2016-07-05,18.24
2016-07-06,17.74
2016-07-07,17.76
2016-07-08,16.49
2016-07-11,16.49
2016-07-12,16.17
2016-07-13,15.97
2016-07-14,15.86
2016-07-15,15.99
2016-07-18,15.77
2016-07-19,15.74
2016-07-20,15.44
2016-07-21,16.10
2016-07-22,15.80
2016-07-25,16.27
2016-07-26,16.32
2016-07-27,16.10
2016-07-28,16.00
2016-07-29,15.42
2016-08-01,15.70
2016-08-02,16.39
2016-08-03,16.08
2016-08-04,15.71
2016-08-05,15.14
2016-08-08,15.16
2016-08-09,15.11
2016-08-10,15.41
2016-08-11,15.30
2016-08-12,15.26
2016-08-15,15.38
2016-08-16,16.02
2016-08-17,15.52
2016-08-18,15.16
2016-08-19,15.13
2016-08-22,15.50
2016-08-23,15.42
2016-08-24,16.00
2016-08-25,16.13
2016-08-26,16.24
2016-08-29,15.93
2016-08-30,16.03
2016-08-31,16.14
2016-09-01,16.31
2016-09-02,15.65
2016-09-05,.
2016-09-06,15.56
2016-09-07,15.49
2016-09-08,15.81
2016-09-09,18.83
2016-09-12,17.27
2016-09-13,19.05
2016-09-14,19.35
2016-09-15,18.19
2016-09-16,17.88
2016-09-19,17.78
2016-09-20,17.99
2016-09-21,16.66
2016-09-22,15.94
2016-09-23,16.05
2016-09-26,17.28
2016-09-27,16.45
2016-09-28,16.01
2016-09-29,16.87
2016-09-30,16.37
2016-10-03,16.40
2016-10-04,16.47
2016-10-05,16.22
2016-10-06,16.07
2016-10-07,16.44
2016-10-10,15.95
2016-10-11,16.94
2016-10-12,17.02
2016-10-13,17.59
2016-10-14,17.42
2016-10-17,17.47
2016-10-18,16.92
2016-10-19,16.46
2016-10-20,16.23
2016-10-21,16.04
2016-10-24,15.61
2016-10-25,15.81
2016-10-26,16.25
2016-10-27,16.93
2016-10-28,17.37
2016-10-31,17.85
2016-11-01,18.74
2016-11-02,19.18
2016-11-03,20.70
2016-11-04,21.13
2016-11-07,18.15
2016-11-08,18.10
2016-11-09,16.28
2016-11-10,16.75
2016-11-11,16.49
2016-11-14,16.70
2016-11-15,15.75
2016-11-16,16.07
2016-11-17,15.64
2016-11-18,15.52
2016-11-21,15.32
2016-11-22,15.35
2016-11-23,15.43
2016-11-24,.
2016-11-25,15.51
2016-11-28,16.02
2016-11-29,15.90
2016-11-30,16.10
2016-12-01,16.67
2016-12-02,16.78
2016-12-05,15.77
2016-12-06,15.48
2016-12-07,15.48
2016-12-08,15.72
2016-12-09,15.22
2016-12-12,15.73
2016-12-13,15.70
2016-12-14,15.87
2016-12-15,15.75
2016-12-16,15.57
2016-12-19,15.31
2016-12-20,15.14
2016-12-21,15.09
2016-12-22,15.29
2016-12-23,15.25
2016-12-26,.
2016-12-27,15.36
2016-12-28,15.93
2016-12-29,16.16
2016-12-30,16.54
2017-01-02,.
2017-01-03,15.56
2017-01-04,14.84
2017-01-05,14.70
2017-01-06,14.56
2017-01-09,14.63
2017-01-10,14.66
2017-01-11,14.47
2017-01-12,14.58
2017-01-13,14.54
2017-01-16,.
2017-01-17,14.89
2017-01-18,14.94
2017-01-19,15.02
2017-01-20,14.49
2017-01-23,14.54
2017-01-24,13.87
2017-01-25,13.61
2017-01-26,13.63
2017-01-27,13.68
2017-01-30,14.41
2017-01-31,14.48
2017-02-01,14.29
2017-02-02,14.59
2017-02-03,14.05
2017-02-06,14.24
2017-02-07,14.35
2017-02-08,14.56
2017-02-09,14.17
2017-02-10,13.91
2017-02-13,13.68
2017-02-14,13.19
2017-02-15,13.41
2017-02-16,13.63
2017-02-17,13.72
2017-02-20,.
2017-02-21,14.04
2017-02-22,14.39
2017-02-23,14.74
2017-02-24,14.76
2017-02-27,14.91
2017-02-28,15.28
2017-03-01,14.86
2017-03-02,14.77
2017-03-03,14.26
2017-03-06,14.34
2017-03-07,14.41
2017-03-08,14.54
2017-03-09,14.78
2017-03-10,14.38
2017-03-13,14.36
2017-03-14,14.63
2017-03-15,14.20
2017-03-16,13.78
2017-03-17,13.92
2017-03-20,13.90
2017-03-21,14.62
2017-03-22,14.68
2017-03-23,14.91
2017-03-24,14.55
2017-03-27,14.23
2017-03-28,13.68
2017-03-29,13.43
2017-03-30,13.37
2017-03-31,13.60
2017-04-03,13.67
2017-04-04,13.37
2017-04-05,14.12
2017-04-06,13.66
2017-04-07,14.06
2017-04-10,14.58
2017-04-11,15.16
2017-04-12,15.28
2017-04-13,15.75
2017-04-14,.
2017-04-17,14.86
2017-04-18,14.76
2017-04-19,15.08
2017-04-20,14.53
2017-04-21,14.75
2017-04-24,12.90
2017-04-25,12.85
2017-04-26,12.98
2017-04-27,12.80
2017-04-28,12.93
2017-05-01,12.63
2017-05-02,12.83
2017-05-03,13.09
2017-05-04,12.83
2017-05-05,12.85
2017-05-08,12.59
2017-05-09,12.71
2017-05-10,12.91
2017-05-11,13.01
2017-05-12,12.97
2017-05-15,12.78
2017-05-16,12.65
2017-05-17,15.60
2017-05-18,14.97
2017-05-19,13.49
2017-05-22,12.96
2017-05-23,12.90
2017-05-24,12.59
2017-05-25,12.51
2017-05-26,12.44
2017-05-29,.
2017-05-30,12.74
2017-05-31,12.63
2017-06-01,12.42
2017-06-02,12.46
2017-06-05,12.85
2017-06-06,13.08
2017-06-07,13.09
2017-06-08,12.76
2017-06-09,12.96
2017-06-12,13.30
2017-06-13,12.73
2017-06-14,12.77
2017-06-15,12.91
2017-06-16,12.71
2017-06-19,12.40
2017-06-20,12.69
2017-06-21,12.76
2017-06-22,12.62
2017-06-23,12.36
2017-06-26,12.27
2017-06-27,12.96
2017-06-28,12.40
2017-06-29,13.15
2017-06-30,13.14
2017-07-03,13.31
2017-07-04,.
2017-07-05,13.31
2017-07-06,14.11
2017-07-07,13.52
2017-07-10,13.35
2017-07-11,13.16
2017-07-12,12.78
2017-07-13,12.55
2017-07-14,12.23
2017-07-17,12.28
2017-07-18,12.25
2017-07-19,12.00
2017-07-20,12.04
2017-07-21,12.06
2017-07-24,12.04
2017-07-25,12.05
2017-07-26,12.11
2017-07-27,12.42
2017-07-28,12.58
2017-07-31,12.47
2017-08-01,12.40
2017-08-02,12.56
2017-08-03,12.74
2017-08-04,12.75
2017-08-07,12.66
2017-08-08,13.20
2017-08-09,13.49
2017-08-10,16.21
2017-08-11,16.39
2017-08-14,13.92
2017-08-15,13.90
2017-08-16,13.58
2017-08-17,16.14
2017-08-18,15.65
2017-08-21,14.99
2017-08-22,13.63
2017-08-23,14.33
2017-08-24,14.39
2017-08-25,13.99
2017-08-28,13.99
2017-08-29,14.12
2017-08-30,14.14
2017-08-31,13.80
2017-09-01,13.59
2017-09-04,.
2017-09-05,14.58
2017-09-06,14.40
2017-09-07,14.32
2017-09-08,14.69
2017-09-11,13.86
2017-09-12,13.56
2017-09-13,13.23
2017-09-14,13.16
2017-09-15,12.96
2017-09-18,12.69
2017-09-19,12.73
2017-09-20,12.66
2017-09-21,12.66
2017-09-22,12.85
2017-09-25,13.06
2017-09-26,13.02
2017-09-27,12.91
2017-09-28,12.76
2017-09-29,12.49
2017-10-02,12.36
2017-10-03,12.31
2017-10-04,12.38
2017-10-05,12.18
2017-10-06,12.44
2017-10-09,12.73
2017-10-10,12.47
2017-10-11,12.24
2017-10-12,12.26
2017-10-13,11.98
2017-10-16,11.94
2017-10-17,12.05
2017-10-18,11.92
2017-10-19,11.96
2017-10-20,11.85
2017-10-23,12.55
2017-10-24,12.67
2017-10-25,12.95
2017-10-26,12.93
2017-10-27,12.23
2017-10-30,12.57
2017-10-31,12.38
2017-11-01,12.57
2017-11-02,12.68
2017-11-03,12.42
2017-11-06,12.57
2017-11-07,12.76
2017-11-08,12.88
2017-11-09,13.14
2017-11-10,13.61
2017-11-13,13.75
2017-11-14,13.93
2017-11-15,14.66
2017-11-16,13.96
2017-11-17,13.8
2017-11-20,13.28
2017-11-21,12.55
2017-11-22,12.44
2017-11-23,.
2017-11-24,12.42
2017-11-27,12.57
2017-11-28,12.27
2017-11-29,12.82
2017-11-30,13.04
2017-12-01,13.28
2017-12-04,13.55
2017-12-05,13.54
2017-12-06,13.45
2017-12-07,12.93
2017-12-08,12.46
2017-12-11,12.28
2017-12-12,12.48
2017-12-13,12.5
2017-12-14,12.8
2017-12-15,12.08
2017-12-18,12.07
2017-12-19,12.51
2017-12-20,12.37
2017-12-21,12.35
2017-12-22,12.49
2017-12-25,.
2017-12-26,12.62
2017-12-27,12.65
2017-12-28,12.76
2017-12-29,13.09
2018-01-01,.
2018-01-02,12.61
2018-01-03,12.32
2018-01-04,12.24
2018-01-05,12.06
2018-01-08,12.15
2018-01-09,12.41
2018-01-10,12.36
2018-01-11,12.16
2018-01-12,12.2
2018-01-15,.
2018-01-16,13.23
2018-01-17,13.25
2018-01-18,13.58
2018-01-19,13.04
2018-01-22,12.99
2018-01-23,13.22
2018-01-24,13.53
2018-01-25,13.68
2018-01-26,13.46
2018-01-29,14.99
2018-01-30,15.83
2018-01-31,14.9
2018-02-01,14.72
2018-02-02,17.03
2018-02-05,28.13
2018-02-06,23.75
2018-02-07,23.03
2018-02-08,27.33
2018-02-09,24.92
2018-02-12,22.86
2018-02-13,22.65
2018-02-14,19.34
2018-02-15,19.08
2018-02-16,19.17
2018-02-19,.
2018-02-20,20.01
2018-02-21,20.03
2018-02-22,19.06
2018-02-23,17.5
2018-02-26,16.92
2018-02-27,19.02
2018-02-28,19.89
2018-03-01,21.42
2018-03-02,19.86
2018-03-05,19.21
2018-03-06,19.24
2018-03-07,18.84
2018-03-08,18.18
2018-03-09,17.01
2018-03-12,17.8
2018-03-13,18.05
2018-03-14,18.78
2018-03-15,18.21
2018-03-16,17.74
2018-03-19,19.38
2018-03-20,18.88
2018-03-21,18.71
2018-03-22,21.66
2018-03-23,22.79
2018-03-26,20.7
2018-03-27,21.94
2018-03-28,22.31
2018-03-29,20.55
2018-03-30,.
2018-04-02,22.57
2018-04-03,21.02
2018-04-04,20.42
2018-04-05,19.61
2018-04-06,21.2
2018-04-09,21.23
2018-04-10,20.4
2018-04-11,20.37
2018-04-12,19.28
2018-04-13,18.55
2018-04-16,17.82
2018-04-17,16.8
2018-04-18,16.8
2018-04-19,17.12
2018-04-20,17.72
2018-04-23,17.35
2018-04-24,18.23
2018-04-25,18.23
2018-04-26,17.29
2018-04-27,17.08
2018-04-30,17.34
2018-05-01,16.91
2018-05-02,17.26
2018-05-03,17.03
2018-05-04,16.65
2018-05-07,16.65
2018-05-08,16.48
2018-05-09,15.78
2018-05-10,15.24
2018-05-11,14.82
2018-05-14,14.53
2018-05-15,15.79
2018-05-16,15.14
2018-05-17,15.02
2018-05-18,15.19
2018-05-21,14.69
2018-05-22,14.88
2018-05-23,14.48
2018-05-24,14.43
2018-05-25,14.83
2018-05-28,.
2018-05-29,17.13
2018-05-30,16.0
2018-05-31,16.33
2018-06-01,15.27
2018-06-04,14.9
2018-06-05,14.72
2018-06-06,14.19
2018-06-07,14.43
2018-06-08,14.6
2018-06-11,14.55
2018-06-12,14.59
2018-06-13,14.92
2018-06-14,14.4
2018-06-15,14.42
2018-06-18,14.48
2018-06-19,15.17
2018-06-20,14.79
2018-06-21,15.87
2018-06-22,15.5
2018-06-25,17.52
2018-06-26,16.87
2018-06-27,18.05
2018-06-28,17.52
2018-06-29,17.14
2018-07-02,16.95
2018-07-03,17.35
2018-07-04,.
2018-07-05,16.53
2018-07-06,15.71
2018-07-09,14.87
2018-07-10,14.71
2018-07-11,15.38
2018-07-12,14.76
2018-07-13,14.54
2018-07-16,14.85
2018-07-17,14.4
2018-07-18,14.39
2018-07-19,14.97
2018-07-20,15.08
2018-07-23,14.86
2018-07-24,14.7
2018-07-25,14.55
2018-07-26,14.4
2018-07-27,15.0
2018-07-30,15.66
2018-07-31,14.87
2018-08-01,15.22
2018-08-02,14.76
2018-08-03,14.49
2018-08-06,14.23
2018-08-07,13.93
2018-08-08,13.96
2018-08-09,14.13
2018-08-10,15.22
2018-08-13,16.21
2018-08-14,15.35
2018-08-15,16.19
2018-08-16,15.51
2018-08-17,15.17
2018-08-20,15.0
2018-08-21,15.19
2018-08-22,15.08
2018-08-23,15.06
2018-08-24,14.82
2018-08-27,14.79
2018-08-28,15.11
2018-08-29,14.95
2018-08-30,15.54
2018-08-31,15.15
2018-09-03,.
2018-09-04,15.45
2018-09-05,15.92
2018-09-06,16.34
2018-09-07,16.59
2018-09-10,16.17
2018-09-11,15.54
2018-09-12,15.32
2018-09-13,14.77
2018-09-14,14.37
2018-09-17,15.28
2018-09-18,15.04
2018-09-19,14.65
2018-09-20,14.51
2018-09-21,14.58
2018-09-24,14.77
2018-09-25,14.92
2018-09-26,15.15
2018-09-27,14.89
2018-09-28,14.77
2018-10-01,14.74
2018-10-02,14.84
2018-10-03,14.68
2018-10-04,15.84
2018-10-05,16.25
2018-10-08,16.51
2018-10-09,16.63
2018-10-10,20.7
2018-10-11,21.56
2018-10-12,19.84
2018-10-15,20.29
2018-10-16,17.96
2018-10-17,18.1
2018-10-18,19.86
2018-10-19,19.84
2018-10-22,19.82
2018-10-23,20.28
2018-10-24,22.62
2018-10-25,22.44
2018-10-26,22.48
2018-10-29,23.06
2018-10-30,22.23
2018-10-31,21.15
2018-11-01,20.07
2018-11-02,20.3
2018-11-05,20.2
2018-11-06,19.58
2018-11-07,17.62
2018-11-08,17.68
2018-11-09,18.46
2018-11-12,20.23
2018-11-13,20.27
2018-11-14,21.22
2018-11-15,20.31
2018-11-16,19.35
2018-11-19,20.64
2018-11-20,22.27
2018-11-21,21.32
2018-11-22,.
2018-11-23,21.75
2018-11-26,20.11
2018-11-27,19.94
2018-11-28,19.28
2018-11-29,19.59
2018-11-30,18.89
2018-12-03,17.95
2018-12-04,20.75
2018-12-05,.
2018-12-06,21.06
2018-12-07,22.44
2018-12-10,22.01
2018-12-11,21.72
2018-12-12,21.59
2018-12-13,21.35
2018-12-14,21.96
2018-12-17,23.41
2018-12-18,23.9
2018-12-19,24.02
2018-12-20,25.24
2018-12-21,26.23
2018-12-24,28.84
2018-12-25,.
2018-12-26,25.69
2018-12-27,25.89
2018-12-28,25.32
2018-12-31,23.73
2019-01-01,.
2019-01-02,22.75
2019-01-03,24.11
2019-01-04,21.86
2019-01-07,21.62
2019-01-08,21.14
2019-01-09,20.69
2019-01-10,20.52
2019-01-11,19.74
2019-01-14,19.93
2019-01-15,19.24
2019-01-16,19.53
2019-01-17,19.17
2019-01-18,18.84
2019-01-21,.
2019-01-22,20.69
2019-01-23,20.08
2019-01-24,19.67
2019-01-25,18.82
2019-01-28,19.58
2019-01-29,19.6
2019-01-30,18.68
2019-01-31,17.88
2019-02-01,17.59
2019-02-04,17.19
2019-02-05,17.07
2019-02-06,16.9
2019-02-07,17.52
2019-02-08,17.26
2019-02-11,17.22
2019-02-12,16.82
2019-02-13,16.96
2019-02-14,17.32
2019-02-15,16.48
2019-02-18,.
2019-02-19,16.45
2019-02-20,15.82
2019-02-21,16.16
2019-02-22,15.46
2019-02-25,16.0
2019-02-26,16.3
2019-02-27,15.99
2019-02-28,16.1
2019-03-01,15.38
2019-03-04,16.03
2019-03-05,16.15
2019-03-06,16.74
2019-03-07,17.3
2019-03-08,17.11
2019-03-11,16.01
2019-03-12,15.65
2019-03-13,15.33
2019-03-14,15.3
2019-03-15,14.98
2019-03-18,15.24
2019-03-19,15.56
2019-03-20,15.79
2019-03-21,15.51
2019-03-22,17.37
2019-03-25,17.45
2019-03-26,16.45
2019-03-27,16.78
2019-03-28,16.3
2019-03-29,15.8
2019-04-01,15.46
2019-04-02,15.54
2019-04-03,15.63
2019-04-04,15.48
2019-04-05,15.06
2019-04-08,15.28
2019-04-09,15.99
2019-04-10,15.38
2019-04-11,15.25
2019-04-12,14.46
2019-04-15,14.53
2019-04-16,14.47
2019-04-17,14.82
2019-04-18,14.57
2019-04-19,.
2019-04-22,14.72
2019-04-23,14.54
2019-04-24,15.04
2019-04-25,15.21
2019-04-26,14.89
2019-04-29,15.23
2019-04-30,15.23
2019-05-01,16.19
2019-05-02,16.03
2019-05-03,15.07
2019-05-06,16.4
2019-05-07,18.78
2019-05-08,18.75
2019-05-09,18.44
2019-05-10,16.9
2019-05-13,19.79
2019-05-14,18.29
2019-05-15,17.49
2019-05-16,16.74
2019-05-17,17.06
2019-05-20,17.29
2019-05-21,16.42
2019-05-22,16.42
2019-05-23,17.69
2019-05-24,17.09
2019-05-27,.
2019-05-28,17.9
2019-05-29,18.24
2019-05-30,17.96
2019-05-31,18.83
2019-06-03,18.77
2019-06-04,17.59
2019-06-05,17.13
2019-06-06,16.92
2019-06-07,17.15
2019-06-10,16.88
2019-06-11,16.99
2019-06-12,17.05
2019-06-13,16.86
2019-06-14,16.6
2019-06-17,16.61
2019-06-18,16.5
2019-06-19,16.1
2019-06-20,16.14
2019-06-21,16.67
2019-06-24,16.47
2019-06-25,17.12
2019-06-26,17.05
2019-06-27,16.76
2019-06-28,16.06
2019-07-01,15.43
2019-07-02,14.72
2019-07-03,14.53
2019-07-04,.
2019-07-05,14.98
2019-07-08,15.48
2019-07-09,15.57
2019-07-10,15.19
2019-07-11,14.98
