,2014,2014,2014,2014,2015,2015,2015,2015,2016,2016,2016,2016,2017,2017,2017,2017,2018,2018,2018,2018,2019,2019
,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2
"        Televisions, video receivers, and other video equipment",1068,1175,1110,1225,1215,1184,1242,1160,1251,1135,1248,1198,1269,1286,1205,1206,1160,1227,1096,1040,1069,1127
"        Radio and stereo equipment, including recorded media",1191,1232,1237,1149,1093,1080,1109,1022,984,967,956,963,979,951,955,964,941,913,921,896,907,917
"        Toys and sporting goods, including bicycles",2579,2708,2578,2533,2438,2447,2291,2218,2284,2204,2333,2350,2413,2393,2541,2626,2590,2580,2422,2423,2352,2373
        Household and kitchen appliances and other household goods,9712,9892,10256,10143,10079,9856,10057,9649,9402,9327,9755,9880,9828,10831,10138,10317,10210,10320,10271,10399,10353,10105
          Household furnishings and related products,1157,1217,1245,1211,1208,1184,1146,1141,1160,1136,1147,1167,1162,1187,1201,1231,1212,1264,1233,1247,1248,1251
          Household and kitchen appliances,1666,1633,1683,1711,1643,1708,1624,1580,1556,1501,1548,1544,1570,1528,1556,1598,1642,1606,1570,1610,1577,1489
"          Other household goods, including cell phones",6889,7041,7328,7222,7228,6964,7288,6928,6686,6689,7061,7169,7096,8116,7381,7489,7357,7450,7468,7542,7529,7366
        Jewelry and collectibles,5758,5793,5704,6042,5921,5856,5685,5990,5364,5883,6322,5709,5901,5798,6362,6333,7146,6617,6494,6802,6368,6151
        Gem diamonds and other gemstones,5606,6333,5602,5468,5389,5048,4967,4805,5073,5244,5214,5553,5107,5279,5216,5439,5749,5400,5777,5471,5853,5616
        Other durable goods,1099,1168,1114,1098,1001,1036,921,960,938,860,981,979,987,1001,1080,1109,1180,1136,1049,1066,1136,1181
    Other general merchandise,13748,14532,14642,15323,12952,13824,14265,13877,13351,13863,12999,14568,13110,13527,13820,13902,13794,15049,13323,14655,14651,14907
  Net exports of goods under merchanting (line 3),75,64,103,56,81,41,74,65,50,77,86,87,51,47,47,65,65,69,68,68,92,73
  Nonmonetary gold (line 4),6566,3889,5012,7187,5481,4796,6032,5017,4240,4026,5779,6497,6176,5689,4940,4740,6450,5249,6034,4214,4625,4165
"Imports of goods (table 1.1, line 11)",589431,601239,597892,596919,577528,574804,568717,552201,539242,547002,555893,565058,578875,582901,582711,614303,631449,633485,647447,649288,635844,637882
    General merchandise,585625,597516,593633,593243,574539,571428,565419,549273,535854,541499,550336,561351,575528,580306,579922,610829,628643,630806,644988,646669,633933,636107
    Nonmonetary gold,3805,3723,4259,3676,2989,3376,3298,2927,3388,5502,5557,3707,3347,2594,2789,3474,2806,2679,2458,2619,1911,1775
"  General merchandise, all end-use commodities (line 106)",585625,597516,593633,593243,574539,571428,565419,549273,535854,541499,550336,561351,575528,580306,579922,610829,628643,630806,644988,646669,633933,636107
"    Foods, feeds, and beverages",30138,32278,32073,32316,32236,32711,32193,31622,32486,32293,32629,33602,33627,34429,35123,35631,36813,37088,37105,37358,37488,38609
      Agricultural,23068,25189,24896,25186,25035,25811,25750,25101,25502,25323,25641,26475,26251,26768,27432,27919,28900,29024,29051,29072,29428,30203
        Green coffee,857,1439,1552,1382,1149,1330,1391,1251,959,1177,1296,1357,1226,1304,1374,1278,1004,1190,1228,1241,1010,1229
        Cocoa beans and sugar,950,767,655,559,900,832,779,668,896,670,605,903,895,832,494,630,807,637,578,539,759,618
        Meat products and poultry,2416,2806,3110,3802,3403,3366,3289,2792,2880,2761,2624,2532,2600,2714,2916,2834,2843,2839,2912,2821,3025,2973
"        Vegetables, fruits, nuts, and preparations",6901,7122,7126,7330,7355,7562,7678,7880,8183,8032,8176,8639,8289,8631,8996,8997,9183,9190,9349,9406,9396,9675
"        Wine, beer, and related products",2353,2538,2511,2376,2466,2587,2584,2607,2662,2684,2628,2781,2772,2752,2890,2941,3006,2987,3018,2927,2956,3196
"        Other agricultural foods, feeds, and beverages",9591,10517,9942,9737,9762,10134,10030,9903,9922,10000,10313,10264,10467,10535,10761,11240,12056,12181,11965,12139,12283,12512
      Nonagricultural,7070,7089,7178,7130,7201,6901,6442,6522,6984,6970,6987,7127,7376,7661,7692,7712,7913,8064,8055,8286,8060,8406
        Fish and shellfish,5193,5005,5057,4999,5087,4766,4359,4492,4783,4836,4860,4996,5145,5533,5447,5450,5628,5571,5585,5739,5388,5716
"        Distilled beverages and other nonagricultural foods, feeds, and beverages",1877,2084,2121,2131,2114,2135,2084,2029,2201,2134,2128,2130,2231,2128,2245,2262,2285,2493,2470,2546,2672,2690
    Industrial supplies and materials,177274,171319,166794,160179,134784,126127,121646,109925,102127,106489,114075,119103,128934,125467,122684,134275,142791,146247,149999,144308,134257,136566
      Agricultural,3363,3300,3284,3304,3067,2960,2974,2805,2633,2685,2929,2923,2925,2994,3103,3239,3149,3095,3076,3121,2988,3121
      Nonagricultural,173910,168020,163510,156875,131717,123167,118672,107121,99494,103804,111145,116180,126008,122472,119581,131036,139642,143152,146923,141187,131269,133446
        Energy products,105838,96637,91131,84109,60923,55728,53233,44478,38172,41456,46370,50100,58337,52091,48843,56450,62641,64469,67746,60804,54733,60742
          Petroleum and products,98322,90765,85958,78572,56217,51602,48968,40450,34663,37639,42080,45216,54515,47683,44818,52550,58949,61074,64211,56190,50398,57298
            Crude,70234,63110,60589,54879,36756,33096,31829,26966,22288,24078,27444,30150,37690,33278,29226,35422,39529,41281,42022,37428,31570,37326
            Fuel oil,11640,11229,10228,8882,7364,6939,5902,4240,3816,4463,5123,4605,5636,4661,5134,6372,7342,6776,8351,7299,6368,6932
            Other petroleum products,14936,15626,14365,13876,11381,11152,10789,8759,8084,8689,8969,9724,10245,9068,9791,9745,11018,12441,13133,10429,11434,12460
            Liquified petroleum gases,1512,799,777,935,716,415,449,485,475,410,544,737,944,676,667,1011,1061,576,704,1033,1026,580
          Coal and related products,394,582,543,573,452,483,689,626,400,718,916,1075,423,701,745,440,330,382,391,557,402,469
          Natural gas,5365,3677,3164,3239,3105,1933,2057,1933,1490,1454,2106,2179,2178,2361,2046,2024,2160,1707,1844,2589,2641,1596
          Nuclear fuel and electric energy,1757,1613,1466,1725,1148,1709,1519,1469,1620,1644,1267,1629,1221,1346,1235,1436,1201,1306,1301,1468,1291,1380
        Paper and paper-base stocks,3160,3159,3161,3139,3091,3109,2947,2984,2945,2877,2916,2940,2871,2862,3013,3004,3091,3307,3286,3520,3655,3149
        Textile supplies and related materials,3634,3671,3712,3782,3805,3778,3722,3601,3515,3489,3466,3513,3482,3491,3531,3636,3703,3738,3855,4009,3723,3536
        Chemicals except medicinals,19476,20315,20953,19995,19144,18819,18320,17342,17002,17408,17628,17869,17826,18619,18559,19771,20512,21157,21581,22438,21067,19348
          Plastic materials,4127,4301,4422,4492,4239,4168,3933,3890,3879,3842,4037,4115,4131,4260,4352,4609,4763,4915,4960,5025,4689,4524
"          Fertilizers, pesticides, and insecticides",3373,3730,4093,3808,3807,3541,3767,3155,2823,2809,2395,2586,2935,2772,2800,2695,2892,2839,3121,3389,3140,2804
          Industrial inorganic chemicals,1877,1918,1900,1862,1933,1811,1770,1678,1571,1539,1564,1629,1713,1753,1798,1978,2187,2239,2444,2423,2462,2266
